id,trace_id,parent_span_id,name,type,start_time,end_time,input,output,model,provider,usage
trace-13-build_prompt,trace-13,trace-13-root,build_prompt,general,2026-08-20T09:04:01.691165Z,2026-08-20T09:04:01.892494Z,"{""query"": ""What is RAG?""}","{""result"": ""ok""}",,,
trace-13-openrouter_completion,trace-13,trace-13-root,openrouter_completion,llm,2026-08-20T09:04:01.892494Z,2026-08-20T09:04:03.905786Z,"{""query"": ""What is RAG?""}","{""choices"": [{""message"": {""role"": ""assistant"", ""content"": ""Retrieval-augmented generation grounds an LLM in retrieved documents.""}}]}",openai/gpt-oss-120b,openrouter,"{""prompt_tokens"": 436, ""completion_tokens"": 114}"
trace-21-root,trace-21,,rag_pipeline,general,2026-08-20T09:12:00Z,2026-08-20T09:12:01.376042Z,"{""query"": ""What is RAG?""}","{""answer"": ""Retrieval-augmented generation grounds an LLM in retrieved documents.""}",,,
trace-21-embed_query,trace-21,trace-21-root,embed_query,general,2026-08-20T09:12:00Z,2026-08-20T09:12:00.165125Z,"{""query"": ""What is RAG?""}","{""result"": ""ok""}",,,
trace-21-pinecone_search,trace-21,trace-21-root,pinecone_search,tool,2026-08-20T09:12:00.165125Z,2026-08-20T09:12:00.577938Z,"{""query"": ""What is RAG?""}","{""result"": ""ok""}",,,
trace-21-build_prompt,trace-21,trace-21-root,build_prompt,general,2026-08-20T09:12:00.577938Z,2026-08-20T09:12:00.646740Z,"{""query"": ""What is RAG?""}","{""result"": ""ok""}",,,
trace-21-openrouter_completion,trace-21,trace-21-root,openrouter_completion,llm,2026-08-20T09:12:00.646740Z,2026-08-20T09:12:01.334761Z,"{""query"": ""What is RAG?""}","{""choices"": [{""message"": {""role"": ""assistant"", ""content"": ""Retrieval-augmented generation grounds an LLM in retrieved documents.""}}]}",openai/gpt-oss-120b,openrouter,"{""prompt_tokens"": 492, ""completion_tokens"": 135}"
trace-22-root,trace-22,,rag_pipeline,general,2026-08-20T09:14:00Z,2026-08-20T09:14:01.221521Z,"{""query"": ""What is RAG?""}","{""answer"": ""Retrieval-augmented generation grounds an LLM in retrieved documents.""}",,,
trace-22-embed_query,trace-22,trace-22-root,embed_query,general,2026-08-20T09:14:00Z,2026-08-20T09:14:00.146583Z,"{""query"": ""What is RAG?""}","{""result"": ""ok""}",,,
trace-22-pinecone_search,trace-22,trace-22-root,pinecone_search,tool,2026-08-20T09:14:00.146583Z,2026-08-20T09:14:00.513039Z,"{""query"": ""What is RAG?""}","{""result"": ""ok""}",,,
trace-22-build_prompt,trace-22,trace-22-root,build_prompt,general,2026-08-20T09:14:00.513039Z,2026-08-20T09:14:00.574115Z,"{""query"": ""What is RAG?""}","{""result"": ""ok""}",,,
trace-22-openrouter_completion,trace-22,trace-22-root,openrouter_completion,llm,2026-08-20T09:14:00.574115Z,2026-08-20T09:14:01.184875Z,"{""query"": ""What is RAG?""}","{""choices"": [{""message"": {""role"": ""assistant"", ""content"": ""Retrieval-augmented generation grounds an LLM in retrieved documents.""}}]}",openai/gpt-oss-120b,openrouter,"{""prompt_tokens"": 621, ""completion_tokens"": 159}"
trace-23-root,trace-23,,rag_pipeline,general,2026-08-20T09:16:00Z,2026-08-20T09:16:02.832354Z,"{""query"": ""Which embedding model is used?""}","{""answer"": ""sentence-transformers/all-MiniLM-L6-v2.""}",,,
trace-23-embed_query,trace-23,trace-23-root,embed_query,general,2026-08-20T09:16:00Z,2026-08-20T09:16:00.339882Z,"{""query"": ""Which embedding model is used?""}","{""result"": ""ok""}",,,
trace-23-pinecone_search,trace-23,trace-23-root,pinecone_search,tool,2026-08-20T09:16:00.339882Z,2026-08-20T09:16:01.189588Z,"{""query"": ""Which embedding model is used?""}","{""result"": ""ok""}",,,
trace-23-build_prompt,trace-23,trace-23-root,build_prompt,general,2026-08-20T09:16:01.189589Z,2026-08-20T09:16:01.331207Z,"{""query"": ""Which embedding model is used?""}","{""result"": ""ok""}",,,
trace-23-openrouter_completion,trace-23,trace-23-root,openrouter_completion,llm,2026-08-20T09:16:01.331206Z,2026-08-20T09:16:02.747383Z,"{""query"": ""Which embedding model is used?""}","{""choices"": [{""message"": {""role"": ""assistant"", ""content"": ""sentence-transformers/all-MiniLM-L6-v2.""}}]}",openai/gpt-oss-120b,openrouter,"{""prompt_tokens"": 607, ""completion_tokens"": 174}"
trace-31-root,trace-31,,rag_pipeline,general,2026-08-20T09:24:00Z,2026-08-20T09:24:03.787954Z,"{""query"": ""Which embedding model is used?""}","{""answer"": ""sentence-transformers/all-MiniLM-L6-v2.""}",,,
trace-31-embed_query,trace-31,trace-31-root,embed_query,general,2026-08-20T09:24:00Z,2026-08-20T09:24:00.454554Z,"{""query"": ""Which embedding model is used?""}","{""result"": ""ok""}",,,
trace-31-pinecone_search,trace-31,trace-31-root,pinecone_search,tool,2026-08-20T09:24:00.454554Z,2026-08-20T09:24:01.590940Z,"{""query"": ""Which embedding model is used?""}","{""result"": ""ok""}",,,
trace-31-build_prompt,trace-31,trace-31-root,build_prompt,general,2026-08-20T09:24:01.590941Z,2026-08-20T09:24:01.780339Z,"{""query"": ""Which embedding model is used?""}","{""result"": ""ok""}",,,
trace-31-openrouter_completion,trace-31,trace-31-root,openrouter_completion,llm,2026-08-20T09:24:01.780338Z,2026-08-20T09:24:03.674315Z,"{""query"": ""Which embedding model is used?""}","{""choices"": [{""message"": {""role"": ""assistant"", ""content"": ""sentence-transformers/all-MiniLM-L6-v2.""}}]}",openai/gpt-oss-120b,openrouter,"{""prompt_tokens"": 650, ""completion_tokens"": 78}"
trace-32-root,trace-32,,rag_pipeline,general,2026-08-20T09:26:00Z,2026-08-20T09:26:03.979792Z,"{""query"": ""Which embedding model is used?""}","{""answer"": ""sentence-transformers/all-MiniLM-L6-v2.""}",,,
trace-32-embed_query,trace-32,trace-32-root,embed_query,general,2026-08-20T09:26:00Z,2026-08-20T09:26:00.477575Z,"{""query"": ""Which embedding model is used?""}","{""result"": ""ok""}",,,
trace-32-pinecone_search,trace-32,trace-32-root,pinecone_search,tool,2026-08-20T09:26:00.477575Z,2026-08-20T09:26:01.671513Z,"{""query"": ""Which embedding model is used?""}","{""result"": ""ok""}",,,
trace-32-build_prompt,trace-32,trace-32-root,build_prompt,general,2026-08-20T09:26:01.671513Z,2026-08-20T09:26:01.870503Z,"{""query"": ""Which embedding model is used?""}","{""result"": ""ok""}",,,
trace-32-openrouter_completion,trace-32,trace-32-root,openrouter_completion,llm,2026-08-20T09:26:01.870502Z,2026-08-20T09:26:03.860398Z,"{""query"": ""Which embedding model is used?""}","{""choices"": [{""message"": {""role"": ""assistant"", ""content"": ""sentence-transformers/all-MiniLM-L6-v2.""}}]}",openai/gpt-oss-120b,openrouter,"{""prompt_tokens"": 621, ""completion_tokens"": 127}"
trace-33-root,trace-33,,rag_pipeline,general,2026-08-20T09:28:00Z,2026-08-20T09:28:03.194475Z,"{""query"": ""Which embedding model is used?""}","{""answer"": ""sentence-transformers/all-MiniLM-L6-v2.""}",,,
trace-33-embed_query,trace-33,trace-33-root,embed_query,general,2026-08-20T09:28:00Z,2026-08-20T09:28:00.383337Z,"{""query"": ""Which embedding model is used?""}","{""result"": ""ok""}",,,
trace-33-pinecone_search,trace-33,trace-33-root,pinecone_search,tool,2026-08-20T09:28:00.383337Z,2026-08-20T09:28:01.341679Z,"{""query"": ""Which embedding model is used?""}","{""result"": ""ok""}",,,
trace-33-build_prompt,trace-33,trace-33-root,build_prompt,general,2026-08-20T09:28:01.341679Z,2026-08-20T09:28:01.501403Z,"{""query"": ""Which embedding model is used?""}","{""result"": ""ok""}",,,
trace-33-openrouter_completion,trace-33,trace-33-root,openrouter_completion,llm,2026-08-20T09:28:01.501403Z,2026-08-20T09:28:03.098640Z,"{""query"": ""Which embedding model is used?""}","{""choices"": [{""message"": {""role"": ""assistant"", ""content"": ""sentence-transformers/all-MiniLM-L6-v2.""}}]}",openai/gpt-oss-120b,openrouter,"{""prompt_tokens"": 366, ""completion_tokens"": 55}"
